Series_Title,Genre,IMDB_Rating,Meta_score,No_of_Votes,Runtime,Genre_Name
A Clockwork Orange,1,8.3,0.77,757904,136,Crime
2001: A Space Odyssey,6,8.3,0.84,603517,149,Adventure
Per qualche dollaro in più,4,8.3,0.74,232772,132,Western
Lawrence of Arabia,6,8.3,1,268085,228,Adventure
The Apartment,5,8.3,0.94,164363,125,Comedy
North by Northwest,6,8.3,0.98,299198,136,Adventure
Vertigo,9,8.3,1,364368,128,Mystery
Singin' in the Rain,5,8.3,0.99,218957,103,Comedy
Ikiru,0,8.3,0,68463,143,Drama
Ladri di biciclette,0,8.3,0,146427,89,Drama
Double Indemnity,1,8.3,0.95,143525,107,Crime
Citizen Kane,0,8.3,1,403351,119,Drama
M - Eine Stadt sucht einen Mörder,1,8.3,0,143434,117,Crime
Metropolis,0,8.3,0.98,159992,153,Drama
The Kid,5,8.3,0,113314,68,Comedy
Chhichhore,5,8.2,0,33893,143,Comedy
Uri: The Surgical Strike,2,8.2,0,43444,138,Action
K.G.F: Chapter 1,2,8.2,0,36680,156,Action
Green Book,3,8.2,0.69,377884,130,Biography
"Three Billboards Outside Ebbing, Missouri",5,8.2,0.88,432610,115,Comedy
Talvar,1,8.2,0,31142,132,Crime
Baahubali 2: The Conclusion,2,8.2,0,75348,167,Action
Klaus,7,8.2,0.65,104761,96,Animation
Drishyam,1,8.2,0,70367,163,Crime
Queen,6,8.2,0,60701,146,Adventure
Mandariinid,0,8.2,0.73,40382,87,Drama
Bhaag Milkha Bhaag,3,8.2,0,61137,186,Biography
Gangs of Wasseypur,2,8.2,0.89,82365,321,Action
Udaan,0,8.2,0,42341,134,Drama
Paan Singh Tomar,2,8.2,0,33237,135,Action
El secreto de sus ojos,0,8.2,0.8,193217,129,Drama
Warrior,2,8.2,0.71,435950,140,Action
Shutter Island,9,8.2,0.63,1129894,138,Mystery
Up,7,8.2,0.88,935507,96,Animation
The Wolf of Wall Street,3,8.2,0.75,1187498,180,Biography
Chak De! India,0,8.2,0.68,74129,153,Drama
There Will Be Blood,0,8.2,0.93,517359,158,Drama
Pan's Labyrinth,0,8.2,0.98,618623,118,Drama
Toy Story 3,7,8.2,0.92,757032,103,Animation
V for Vendetta,2,8.2,0.62,1032749,132,Action
Rang De Basanti,5,8.2,0,111937,167,Comedy
Black,0,8.2,0,33354,122,Drama
Batman Begins,2,8.2,0.7,1308302,140,Action
"Swades: We, the People",0,8.2,0,83005,210,Drama
Der Untergang,3,8.2,0.82,331308,156,Biography
Hauru no ugoku shiro,7,8.2,0.8,333915,119,Animation
A Beautiful Mind,3,8.2,0.72,848920,135,Biography
Hera Pheri,2,8.2,0,57057,156,Action
"Lock, Stock and Two Smoking Barrels",2,8.2,0.66,535216,107,Action
L.A. Confidential,1,8.2,0.9,531967,138,Crime
Eskiya,1,8.2,0,64118,128,Crime
Heat,1,8.2,0.76,577113,170,Crime
Casino,1,8.2,0.73,466276,178,Crime
Andaz Apna Apna,2,8.2,0,49300,160,Action
Unforgiven,0,8.2,0.85,375935,130,Drama
Indiana Jones and the Last Crusade,2,8.2,0.65,692366,127,Action
Dom za vesanje,5,8.2,0,26402,142,Comedy
Tonari no Totoro,7,8.2,0.86,291180,86,Animation
Die Hard,2,8.2,0.72,793164,132,Action
Ran,2,8.2,0.96,112505,162,Action
Raging Bull,3,8.2,0.89,321860,129,Biography
Stalker,0,8.2,0,116945,162,Drama
Höstsonaten,0,8.2,0,26875,99,Drama
The Message,3,8.2,0,43885,177,Biography
Sholay,2,8.2,0,51284,204,Action
Monty Python and the Holy Grail,6,8.2,0.91,500875,91,Adventure
The Great Escape,6,8.2,0.86,224730,172,Adventure
To Kill a Mockingbird,1,8.2,0.88,293811,129,Crime
Yôjinbô,2,8.2,0,111244,110,Action
Judgment at Nuremberg,0,8.2,0.6,69458,179,Drama
Some Like It Hot,5,8.2,0.98,243943,121,Comedy
Smultronstället,0,8.2,0.88,96381,91,Drama
Det sjunde inseglet,0,8.2,0.88,164939,96,Drama
Du rififi chez les hommes,1,8.2,0.97,28810,118,Crime
Dial M for Murder,1,8.2,0.75,158335,105,Crime
Tôkyô monogatari,0,8.2,0,53153,136,Drama
Rashômon,1,8.2,0.98,152572,88,Crime
All About Eve,0,8.2,0.98,120539,138,Drama
The Treasure of the Sierra Madre,6,8.2,0.98,114304,126,Adventure
To Be or Not to Be,5,8.2,0.86,29915,99,Comedy
The Gold Rush,6,8.2,0,101053,95,Adventure
Sherlock Jr.,2,8.2,0,41985,45,Action
Portrait de la jeune fille en feu,0,8.1,0.95,63134,122,Drama
Pink,0,8.1,0,39216,136,Drama
Koe no katachi,7,8.1,0.78,47708,130,Animation
Contratiempo,1,8.1,0,141516,106,Crime
Ah-ga-ssi,0,8.1,0.84,113649,145,Drama
Mommy,0,8.1,0.74,50700,139,Drama
Haider,2,8.1,0,50445,160,Action
Logan,2,8.1,0.77,647884,137,Action
Room,0,8.1,0.86,371538,118,Drama
Relatos salvajes,5,8.1,0.77,177059,122,Comedy
Soul,7,8.1,0.83,159171,100,Animation
Kis Uykusu,0,8.1,0.88,46547,196,Drama
PK,5,8.1,0,163061,153,Comedy
OMG: Oh My God!,5,8.1,0,51739,125,Comedy
The Grand Budapest Hotel,6,8.1,0.88,707630,99,Adventure
Gone Girl,0,8.1,0.79,859695,149,Drama
Ôkami kodomo no Ame to Yuki,7,8.1,0.71,38803,117,Animation
Hacksaw Ridge,3,8.1,0.71,435928,139,Biography
Inside Out,7,8.1,0.94,616228,95,Animation
Barfi!,5,8.1,0,75721,151,Comedy
12 Years a Slave,3,8.1,0.96,640533,134,Biography
Rush,2,8.1,0.74,432811,123,Action
Ford v Ferrari,2,8.1,0.81,291289,152,Action
Spotlight,3,8.1,0.93,420316,129,Biography
Song of the Sea,7,8.1,0.85,51679,93,Animation
Kahaani,9,8.1,0,57806,122,Mystery
Zindagi Na Milegi Dobara,5,8.1,0,67927,155,Comedy
Prisoners,1,8.1,0.7,601149,153,Crime
Mad Max: Fury Road,2,8.1,0.9,882316,120,Action
A Wednesday,2,8.1,0,73891,104,Action
Gran Torino,0,8.1,0.72,720450,116,Drama
Harry Potter and the Deathly Hallows: Part 2,6,8.1,0.85,764493,130,Adventure
Okuribito,0,8.1,0.68,48582,130,Drama
Hachi: A Dog's Tale,3,8.1,0,253575,93,Biography
Mary and Max,7,8.1,0,164462,92,Animation
How to Train Your Dragon,7,8.1,0.75,666773,98,Animation
Into the Wild,6,8.1,0.73,572921,148,Adventure
No Country for Old Men,1,8.1,0.91,856916,122,Crime
Lage Raho Munna Bhai,5,8.1,0,43137,144,Comedy
Million Dollar Baby,0,8.1,0.86,635975,132,Drama
Hotel Rwanda,3,8.1,0.79,334320,121,Biography
Taegukgi hwinalrimyeo,2,8.1,0.64,37820,140,Action
Before Sunset,0,8.1,0.9,236311,80,Drama
Munna Bhai M.B.B.S.,5,8.1,0,73992,156,Comedy
Salinui chueok,1,8.1,0.82,139558,131,Crime
Dil Chahta Hai,5,8.1,0,66803,183,Comedy
Kill Bill: Vol. 1,2,8.1,0.69,1000639,111,Action
Finding Nemo,7,8.1,0.9,949565,100,Animation
Catch Me If You Can,3,8.1,0.75,832846,141,Biography
Amores perros,0,8.1,0.83,223741,154,Drama
"Monsters, Inc.",7,8.1,0.79,815505,92,Animation
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",7,8.1,0,38847,87,Animation
Lagaan: Once Upon a Time in India,6,8.1,0.84,105036,224,Adventure
The Sixth Sense,0,8.1,0.64,911573,107,Drama
La leggenda del pianista sull'oceano,0,8.1,0.58,59020,169,Drama
The Truman Show,5,8.1,0.9,939631,103,Comedy
"Crna macka, beli macor",5,8.1,0.73,50862,127,Comedy
The Big Lebowski,5,8.1,0.71,732620,117,Comedy
Fa yeung nin wah,0,8.1,0.85,124383,98,Drama
Trainspotting,0,8.1,0.83,634716,93,Drama
Fargo,1,8.1,0.85,617444,98,Crime
Underground,5,8.1,0,55220,170,Comedy
La haine,1,8.1,0,150345,98,Crime
Dilwale Dulhania Le Jayenge,0,8.1,0,63516,189,Drama
Before Sunrise,0,8.1,0.77,272291,101,Drama
Trois couleurs: Rouge,0,8.1,1,90729,99,Drama
Chung Hing sam lam,5,8.1,0.77,63122,102,Comedy
